WA0NGMCP37737,MW0NGMCP37737,LangBo:klu gtor dang sngags drug phyag rgya drug
WA0NGMCP37738,MW0NGMCP37738,LangBo:'od gsal rdo rje rtse mo lhun grub snang bzhi'i khrid chos nyid brgyan gyi gan mdzod/
WA0NGMCP37739,MW0NGMCP37739,P667:LangBo:gcod yul gyi khri yig zab don snying po 'dril ba/
WA0NGMCP37740,MW0NGMCP37740,P7:LangBo:'jam dpal phyag rgya zil gnon gyi sgrub thabs rgyun khyer/
WA0NGMCP37741,MW0NGMCP37741,LangBo:sgrub chen bka' brgyad kyi las byang bzlog gzhung bcas kyi dbyangs yig cha tshang gsar 'grigs/
WA0NGMCP37742,MW0NGMCP37742,LangBo:spyod yul zab mo 'khrul pa'i tshang slug ye shes gcer mthong /
WA0NGMCP37743,MW0NGMCP37743,LangBo:gu ru padma'i thugs dam ga'u nang ma/
WA0NGMCP37744,MW0NGMCP37744,P364:LangBo:bka' brgyad bde gshegs 'dus pa las mchod pa phur kyi bskongs/
WA0NGMCP37745,MW0NGMCP37745,LangBo:thod dbang me'i 'khor lo'i mtshams sbyor/
WA0NGMCP37746,MW0NGMCP37746,P442:LangBo:bde mchog mkha' 'gro snyan brgyud las thod dbang me'i 'khor lo/
WA0NGMCP37747,MW0NGMCP37747,P7:LangBo:drag sgrubs las byang khyer bde/
WA0NGMCP37748,MW0NGMCP37748,P7:LangBo:rdo rje g.yu sgron ma'i 'phrin las 'dod 'jo'i snye ma/
WA0NGMCP37749,MW0NGMCP37749,P7:LangBo:gsol 'debs le'u tshan bdun/
WA0NGMCP37750,MW0NGMCP37750,P7:LangBo:rdo rje gtum po'i sgrub thabs bsdus pa man ngag gi snye ma/
WA0NGMCP37751,MW0NGMCP37751,P7:LangBo:ma hA gu ru drag por sgrub pa'i las mtha' hom mchod kyi ngag 'don/
WA0NGMCP37752,MW0NGMCP37752,P825:LangBo:nag po chen po'i las mtha' sreg pa hom gyi gzer/
WA0NGMCP37753,MW0NGMCP37753,P825:LangBo:rdo rje srin po'i sgo nas rang gshed dbab pa bung ba khrag mthung ba/
WA0NGMCP37754,MW0NGMCP37754,P5254:phur pa'i rgyu tshad bstan pa'i man ngag
WA0NGMCP37755,MW0NGMCP37755,LangBo:gdan sa don grub mthong smon gyi bzhi bdag snod sbyin lcam dral gyi mchod 'phreng /
WA0NGMCP37756,MW0NGMCP37756,P656:padma'i snyan brgyud yan gsang bla med las bla ma'i sgrub thabs byin brlabs myur 'jug
WA0NGMCP37757,MW0NGMCP37757,LangBo:bka' drin chen po las gsung chos dbang lugs man ngag ji ltar thob pa'i thob yig
WA0NGMCP37758,MW0NGMCP37758,LangBo:kun skyong gling pa'i mchod rten dkar po'i gter kha byar ma 'bum thub bka' bzlog nag po thugs kyi reg gcod gzhan la med pa'i yang zab kyi bsrungs ba/
WA0NGMCP37760,MW0NGMCP37760,P4956:LangBo:bla ma dgongs pa 'dus pa las 'bri thig 'tshangs pa'i dra ba/
WA0NGMCP37761,MW0NGMCP37761,LangBo:tshe dpag med dang ma bcud 'dren/
WA0NGMCP37762,MW0NGMCP37762,P676:LangBo:yang gsang bla na med pa'i rdzogs pa chen po'i chos spyod ngag 'don yid bzhin nor bu rig 'dzin chen po tshe dbang nor bu'i dgongs gter bsam lhun grub pa'i gzungs sngags rnams bzhugs pa'i dbu phyogs/
WA0NGMCP37763,MW0NGMCP37763,LangBo:dpal 'brug pa rgyal dbang thams cad mkhyen pa bka' brgyud 'phrin las shin rta'i de phyag len phag mo bden gnyis ma'i dbang gi bca' bzhi sgrig lugs/
WA0NGMCP37764,MW0NGMCP37764,P671:LangBo:zab lam a ti'i bstan skyong sngags kyi bdag mo'i mchod sprin las myur 'grub/
WA0NGMCP37765,MW0NGMCP37765,LangBo:rdo rje phur pa yang gsang spu gri'i bsnyen pa'i zin bris zab don yid bzhin dbang rgyal/
WA0NGMCP37766,MW0NGMCP37766,LangBo:bla ma dgongs pa 'dus pa las phrin las lam khyer bsdus pa me tog 'phreng ba mdzes/
WA0NGMCP37767,MW0NGMCP37767,P470:LangBo:zab lam gsang 'dus pa las yang gsang 'khros pa'i sgrub thabs kyi skor las | bcud len zab mo/
WA0NGMCP37768,MW0NGMCP37768,P7:LangBo:zab chos rig 'dzin thugs thig las rdzogs rim nges don snying po'i 'khrid yig 'chad pa dir bkrol ba nges don gsal byed/
WA0NGMCP37769,MW0NGMCP37769,LangBo:lha chen yab yum bsgang gshegs/
WA0NGMCP37770,MW0NGMCP37770,P37:LangBo:gtsang rong gter gsar bla ma zhi drag gnyis kyi gter srung mchod pa'i 'phrin las/
WA0NGMCP37771,MW0NGMCP37771,P7:LangBo:gcod yul stan thog cig pa'i gdams pa dpa' bo'i gad rgyangs/
WA0NGMCP37772,MW0NGMCP37772,P4956:LangBo:mdos kyi las drug gi phyogs slob dpon pasmas mdzad pa/
WA0NGMCP37773,MW0NGMCP37773,P1226:LangBo:las 'bras 'bring po/
WA0NGMCP37774,MW0NGMCP37774,LangBo:dpal rdo rje phur pa'i yang gsang spu gri me 'bar ba'i sgrub thabs/
WA0NGMCP37775,MW0NGMCP37775,LangBo:rdo rje gtum po'i nang bsgrub gsang ba/
WA0NGMCP37776,MW0NGMCP37776,P1697:LangBo:yang tig ye shes mthong grol las tshad kyi yi ge mi 'gyur ba gser zhun lta bu/
WA0NGMCP37777,MW0NGMCP37777,LangBo:sgrub thabs 'dod 'jo'i bum bzang las bka' bsrung gza' bdud ra hu la'i sgrub thabs dbang dang bcas pa/
WA0NGMCP37778,MW0NGMCP37778,pad ma tshe yi snying tig las 'chi med mkha' 'gro'i gdam pa/
WA0NGMCP37779,MW0NGMCP37779,P5916:LangBo:chos rje spyil dkar pas gsungs pa'i nad 'don | dmigs pa'i skor/
WA0NGMCP37780,MW0NGMCP37780,P5916:LangBo:chos rje spyil dkar po'i 'khrul 'khor zhal gdams/
WA0NGMCP37781,MW0NGMCP37781,LangBo:'byung chung ro snyoms kyi zhal gdams/
WA0NGMCP37782,MW0NGMCP37782,P4956:LangBo:bdud rtsi 'byung ba'i rgyud/
WA0NGMCP37783,MW0NGMCP37783,LangBo:ras chung pa'i zhal gdams/
WA0NGMCP37784,MW0NGMCP37784,LangBo:chos rje rtsang pa rgya ras pa'i lus sbyong rmang lam ma/
WA0NGMCP37785,MW0NGMCP37785,LangBo:grub thob te bu pa'i lus sbyong /
WA0NGMCP37786,MW0NGMCP37786,LangBo:grub thob te bu pa'i lus sbyong sum bcu pa'i zhal gdams/
WA0NGMCP37787,MW0NGMCP37787,P5916:LangBo:bcud len bdud rtsi bcu sbyor/
WA0NGMCP37788,MW0NGMCP37788,P5916:LangBo:rde 'cha'i gdams ngag
WA0NGMCP37789,MW0NGMCP37789,P5916:LangBo:bdud rtsi rde'u bsgrub thabs kyi zhal gdams/
WA0NGMCP37791,MW0NGMCP37791,LangBo:grub pa'i bsti gnas kyi mchog dam pa 'od gsal gling gi 'dus pa rgya mtsho'i bcas pa'i blang dor gyi yi ge rin po che gser gyi sgron me/
WA0NGMCP37792,MW0NGMCP37792,LangBo:grub mchog dam pa sangs rgyas rgyal mtshan gyi rnam thar gsol 'debs dang rnam thar dngos bcas/
WA0NGMCP37793,MW0NGMCP37793,LangBo:brda sprod rgya mtsho srubs pa'i snying po skad dod 'chi med 'dod sbyin gter bum/
WA0NGMCP37794,MW0NGMCP37794,LangBo:gzhal yas khang rnams kyi gsal byed bzhugs pa'i dbu phyogs lags/
WA0NGMCP37795,MW0NGMCP37795,LangBo:'jig rten lugs kyi bstan bcos las | dpyad don gsal ba'i sgron me zhes grags pa/
WA0NGMCP37796,MW0NGMCP37796,P4954:LangBo:lugs kyi bstan bcos skye bo bso ba'i thigs pa/
WA0NGMCP37797,MW0NGMCP37797,LangBo:khrims yig zhal lce bcu gsum/
WA0NGMCP37798,MW0NGMCP37798,P5788:LangBo:bod kha ba can du bstan pa'i dbu snyed pa'i lo rgyus la sogs pa/
WA0NGMCP37799,MW0NGMCP37799,LangBo:lo dang zla ba'i bshad pa dpal mgon 'phrin las pas mdzad pa/
WA0NGMCP37800,MW0NGMCP37800,P2885:LangBo:mgon po bstan bsrung yongs rdzogs dang | bka' bsrung gter bdag mchod 'phrin/
WA0NGMCP37801,MW0NGMCP37801,P660:LangBo:'jam dbyangs a ra pa rtsa na'i sgrub thabs nyin byed 'od snang /
WA0NGMCP37802,MW0NGMCP37802,P421:pad dkar 'dzin pa ngur smrig gar rol lnga pa sdom brtson rgyal po'i tshul 'chang ba drug par 'phos pa'i gtam rna ba'i bcud len yid kyi kun dga'
WA0NGMCP37803,MW0NGMCP37803,P909:LangBo:'gro ba'i mgon po gtsang pa rgya ras kyi mgur 'bum rgyas pa/
WA0NGMCP37804,MW0NGMCP37804,LangBo:grub thob gling ras kyi rnam thar mthong ba don ldan/
WA0NGMCP37806,MW0NGMCP37806,LangBo:ye shes mka' 'gro bdud 'dul drag mo seng ge'i gdongs can gyi zhi ba'i sbyin sreg gi cho ga'i zin bris bstas chog ma/
WA0NGMCP37807,MW0NGMCP37807,P442:LangBo:dAkki'i snyan brgyud zab mo las don dbang bsdus pa byin rlabs ye shes/
WA0NGMCP37808,MW0NGMCP37808,P663:LangBo:las thams cad kyi sngon 'gro dkar gtor bgegs gtor gyi rim pa cha gnyis pa/
WA0NGMCP37809,MW0NGMCP37809,LangBo:yan lag lnga dang nges bsngan gza' lnga sgra gcan gyis rtsis nyi zla 'dzin tshul yan lag lnga'i rgyu mtshan rtsis dang bcas pah/
WA0NGMCP37810,MW0NGMCP37810,LangBo:dpal 'khor lo sdom pa lhan cig skyes pa'i sgrub thabs/
WA0NGMCP37811,MW0NGMCP37811,LangBo:dpal mgon po dngos grub 'byung ba'i rgyud kyi khog dbug 'jigs bral seng ge'i nga ro/
WA0NGMCP37812,MW0NGMCP37812,LangBo:snyan brgyud lhan cig skyes ma'i bsgrub thabs/
WA0NGMCP37813,MW0NGMCP37813,mkha' 'gro ma seng ge gdong can ma rig lnga'i sgrub thabs bklags chog ma/
